year	author	title	citations	social_network	sample_size	sample_country	study_type	variables	cites
2013	Jiang et al	Privacy Concerns and Privacy-Protective Behavior in Synchronous Online Social Interactions	116	Chatrooms	251	Singapore	"correlational, confirmatory"	"perceived anonymity of self,perceived anonymity of others,perceived media richness,perceived intrusiveness,privacy concerns,social rewards,self-disclosure,misrepresentation"	"Culnan & Bies 2003,Anderson & Agarwal 2011,Daft & Lengel 1986,Argo et al 2006,Lengel & Trevino 1987,Barclay et al 1995,Hughes 2009,Beck & Ajzen 1991,Dennis & Kinney 1998,Dinev & Hart 2006,Eisenberger et al 1990,Campell 1997,Ellison et al 2011,Canessa & Riolo 2003,TheFinn 2004,Caplan & Turner 2007,Gefen et al 2000,Carlson & Zmud 1999,Ellison & Heino 2006,Gilbert & Horenstein 1975,Carlson & Davis 1998,Hancock & Dunham 2001,Chin 1998,Hann et al 2007,Cohen 1992,Colquitt 2001,Hemetsberger 2002,Gimeno et al 1994,Ibanez 2002,Bentier 1999,Petronio 1991,Petronio 2002,Pinsonneault & Heppel 1997,Ji & Lieber 2010,Podsakoff et al 2003,Jiang et al 2010,Postmes & Spears 1998,Ratan et al 2010,Joinson 2001,Riva & Galimberti 1998,Yun 2007,Schimel et al 2001,Lawler & Thye 1999,Poire et al 1992,Schoenbachler & Gordon 2002,Lea et al 2001,Madden & Smith 2010,Madden et al 2007,Sheer 2011,Smith et al 1996,Sobel 1982,Malhotra et al 2004,Kim 2008,McGrath & Hollingshead 1993,Stewart & Segars 2002,Milne & Gordon 1993,Jacinto 2007,Nichols & Greene 1997,Pavlou & Gefen 2004,Tidwell & Walther 2002,Toma & Hancock 2010,Tucker & Lewis 1973,Cleemput 2009,Verhoef 2003,Woo 2006,Walther 1996,Rosson 2011,Walther 2007,Agarwal 2009,Wheeless & Grotz 1976,Yao & Flanagin 2006,Mitchell & Finkelhor 2007,Zwick & Dholakia 2004"
2012	Johnson et al	Facebook and Privacy: It’s Complicated	175	Facebook	260	US	"descriptive, exploratory"	"general use,concern about unwanted audiences,sensitivity of profile data"	"Acquisti & Gross 2006,Altman 1975,Besmer et al 2010,Egelman & Johnson 2012,Egelman et al 2011,Gross & Acquisti 2005,Joinson 2008,Jones 2010,Kelley et al 2011,Krasnova 2009,Lampe et al 2008,Lampinen et al 2009,Lewis et al 2008,Liu et al 2011,Lohr 2010,Madden 2012,Madejski et al 2012,Palen & Dourish 2003,Reeder & Maxion 2005,Saltzer & Schroeder 1975,Skeels & Grudin 2009,Smith 2009"
2013	Keith et al	Information disclosure on mobile devices: Re-examining privacy calculus with actual user behavior	107	Fictitious	1025	US	experimental	"privacy concern,perceived privacy risks,intent to disclose,perceived benefits,actual information disclosure"	"Acquisti & Gross 2006,Acquisti & Grossklags 2003,Acquisti & Grossklags 2004,Acquisti & Grossklags 2005,Ajzen 1991,Ajzen & Fishbein 1980,Awad & Krishnan 2006,Barkhuus 2004,Becker 1978,Becker & Murphy 1988,Belanger & Crossler 2011,Hiller & Smith 2002,Blau 1964,Chin et al 2003,Culnan & Armstrong 1999,Davies 1997,Decker 2008,Dinev & Hart 2006,Fornell & Bookstein 1982,Friedman & Savage 1952,Gefen & Straub 2005,Ghosh & Swaminatha 2001,Grewal et al 1994,Jaiswal 2010,Jentzsch et al 2012,Jiang & Yao 2006,Junglas & Watson 2008,Kahneman & Tversky 1979,Keith et al 2010,Keith et al 2011,Laufer & Wolfe 1977,Liang et al 2007,Malhotra et al 2004,Margulis 1977,McCarthy 2002,McCarthy 2010,Mikhaylova 2012,Milne & Rohm 2003,Norberg et al 2007,Paine et al 2007,Pavlou et al 2007,Posey et al 2010,Rainie 2012,Rao & Minakakis 2003,Ringle et al 2005,Siau 2008,Smith 2012,Smith et al 2011,Smith et al 1996,Straub et al 2004,Szajna 1996,Turner et al 2010,Vance et al 2008,Vihavainen et al 2009,Vroom 1964,Warren & Brandeis 1890,Westin 1967,Wu & Wang 2005,Xu et al 2009"
2016	Kezer et al	"Age differences in privacy attitudes, literacy and privacy management on Facebook"	13	Facebook	518	Not specified	"correlational, confirmatory"	"internet use,social media use,social network,fb use and gratifications,age,information disclosure,privacy protection,privacy literacy,privacy attitudes"	"Sevi et al 2016,Acquisti & Gross 2006,Ajzen 2001,Arjan et al 2008,Barnes 2006,Bartsch & Dienlin 2016,Baruh & Popescu 2015,Blank et al 2014,Solnet 2013,Hargittai 2010,Christofides et al 2009,Christofides et al 2012,Dienlin & Trepte 2015,Hoofnagle et al 2010,Kail & Cavanaugh 2010,Krasnova et al 2010,Lewis et al 2008,Litt 2013,Livingstone 2008,Staksrud 2011,Nosko et al 2010,Papacharissi 2010,Perrin 2015,Petronio 2002,Taddicken 2014,Lind 2015,Trepte et al 2014,Turow & Hennessy 2007,Urista et al 2009,Van et al 2015,Vitak 2012,Walrave et al 2012,Whiting & Williams 2013,Zhang & Leung 2014"
2010	Kisilevich & Mansmann	Analysis of Privacy in Online Social Networks of Runet	19	Runet	86	"Russia, US, Ukraine, Germany, Israel, International"	"descriptive, exploratory"	"sns usage,personal info disclosed,information disclosure,trust,concern about unwanted audiences,privacy protection strategies"	"Acquisti & Gross 2006,Awad & Krishnan 2006,Back et al 2010,Bonneau & Preibusch 2009,Chau et al 2007,DeSouza & Dick 2009,Dwyer et al 2007,Felt & Evans 2008,Gelman 2009,Govani & Pashley 2005,Grimmelmann 2008,Gross et al 2005,Heatherly et al 2009,Hogben 2007,Jones & Soltren 2005,Kolek & Saunders 2008,Krishnamurthy & Wills 2008,Mislove et al 2007,Mislove et al 2010,Nagle & Singh 2009,Pfeil et al 2009,Strater & Lipford 2008,Stutzman 2006,Tufekci 2008,Young & Quan-Haase 2009,Zheleva & Getoor 2009,Zhou & Pei 2008"
2012	Krasnova & Kift	Online Privacy Concerns and Legal Assurance: A User Perspective	7	Facebook	553	Germany	"descriptive, exploratory"	"privacy concern,type of data,type of threat,source of threat,data control,privacy management,trust,reason for sharing,willingness to pay for privacy,legal assurances,"	"Acquisti & Gross 2006,Acquisti 2004,Ariely 2008,Campbell et al 2007,Dinev & Hart 2006,Donoghue 2000,Grabner-Krauter & Kaluscha 2003,Harper & Singleton 2001,Higgins et al 1997,Hofstede 2001,Hogben 2007,Hui et al 2006,Janof-Bulman & Lang-Gunn 1988,John et al 2009,Koroleva 2006,Hampton et al 2011,Krasnova et al 2009,Purcell 2011,Paine et al 2007,Pincus & Johns 1997,Pring 2012,Ryan & Bernard 2000,Spiekermann & Koroleva 2009,Krasnova et al 2010,Kruglanski 1975,Luo 2002,Malhotra et al 2004,McKnight et al 2002,Chervany 2001,Buchanan 2007,Samuelson 2008,Sitkin & Roth 1993,Smith et al 1996,Solove 2002,Solove 2006,Spiekermann et al 2001"
2012	Lawler et al	An Expanded Study of Net Generation Perceptions on Privacy and Security on Social Networking Sites (SNS)	9	Generic	384	US	"correlational, exploratory"	"data stored on sns,hours of use,read privacy policy,knowledge"	"Gross 2005,Aguiar 2008,Yu 2007,Baase 2008,Baker 2009,Benn 1971,Blodget 2007,Brenner 2009,Brin 1998,Brown 2008,Claburn 2007,Claburn 2007,Clifford 2009,Cline 2010,Delehanty 2009,Blackhouse 2001,Dickerson 2004,Dyson 2008,Feretic 2008,Gohring 2008,Green 2008,Greengard 2008,Havenstein 2008,Hempel 2009,Snyder 1999,Aimeur 2009,Kluth 2009,Kirchheimer 2009,Phile 2009,Oulasvirta 2009,Landau 2008,Larkin 2009,Vandepeutte 2008,Madden 2007,Lohr 2010,MacMillian 2009,MacMillian 2010,Markoff 2008,McCreary 2008,McGirt 2009,Burke 2000,Bannister 2009,Mooradian 2009,Prince 2010,Swan 2009,Rapoza 2009,Rapoza 2008,Rennie 2008,Romano 2006,Rosenblum 2007,Sausner 2009,Sausner 2009,Stone 2008,Tapscott 2008,Viehland 2007,Bleakley 2008,Vijayan 2009,Westin 1967,Wilson 2008,Brown 2007"
2012	Lin & Liu	"The effects of motivations, trust, and privacy concern in social networking"	45	Facebook	207	Not specified	"correlational, confirmatory"	"privacy concern,trust,motivations,information disclosure,intensity of sns use"	"Acquisti & Gross 2006,Ariyachandra & Bertaux 2010,Barker 2009,Barnes 2006,Berry & Parasuraman 1991,Heim 2009,Debatin et al 2009,Dinev & Hart 2003,Dinev & Hart 2006,Doney & Cannon 1997,Dumrongsiri & Pornsakulvanich 2010,Dwyer et al 2007,Eastlick et al 2006,Fogel & Nehmad 2009,Fornell & Larcker 1981,Fukuyama 1995,Ganesan 1994,Gefen 2000,Gefen et al 2003,Gross & Acquisti 2005,Hair et al 2010,Hargittai & Hsieh 2010,Huarng 2011,Huarng & Yu 2011,Huarng et al 2010,Jairak et al 2010,Jarvenpaa & Leidner 1999,Joinson 2008,Katz et al 1974,Kim et al 2010,Krasnova et al 2010,Lee & Chen 2011,Lo 2010,Luo 2002,Mayer et al 1995,Pavlou & Gefen 2004,Peltier & Westfall 2000,Ross et al 2009,Shin 2010,Tufekci 2008,Yu 2011"
2013	Litt	Understanding social network site users’ privacy tool use	106	Generic	2253	US	"correlational, confirmatory, secondary analysis"	"privacy concerns,online turbulence,social network use,privacy tools use"	"Acquisti & Gross 2006,Altman 1975,Bonfadelli 2002,Boyd 2010,Boyd 2007,Boyd & Hargittai 2010,Brooks 1974,Cassell & Cramer 2007,Caverlee & Webb 2008,Child et al 2009,Correa 2010,Dindia & Allen 1992,Gray & Lampe 2011,Hargittai 2007,Hargittai 2010,Hargittai & Walejko 2008,Hargittai & Litt 2011,Hoy & Milne 2010,Lewis et al 2008,Litt 2012,Madden & Smith 2010,Madden & Zickuhr 2011,Madejski et al 2011,Margulis 2011,Marwick et al 2010,Patil & Kobsa 2010,Petronio 2002,Preston 2011,Stelter 2012,Thelwall 2008,Thelwall 2011,Tufekci 2008,Walther & Parks 2002,Walther et al 2009,Waters & Ackerman 2011,Young & Quan-Haase 2009"
2011	Liu et al	Analyzing Facebook Privacy Settings: User Expectations vs. Reality	460	Facebook	200	US	"descriptive, exploratory"	"existing privacy settings,desired privacy settings,"	"Acquisti & Gross 2006,Ahern et al 2007,Besmer & Lipford 2010,Banks & Wu 2009,Baden et al 2009,Blondel 2008,Corbett 2010,Fang & LeFevre 2010,Fortunato 2010,Fong et al 2009,Gross & Acquisti 2005,Hoadley et al 2009,Horton et al 2010,Krishnamurthy & Wills 2008,Krishnamurthy & Wills 2009,Krishnamurthy 2010,Lampe et al 2008,Lewis et al 2008,Lipford et al 2008,Mislove et al 2010,Madejski et al 2011,Mason & Suri 2010,Mason & Watts 2009,Newman 2004,Newman 2006,Paolacci et al 2010,Radicchi et al 2004,Stutzman & Kramer-Duffield 2010,Strater & Lipford 2008,Wilson et al 2009"
2012	Madejski et al	A Study of Privacy Settings Errors in an Online Social Network	136	Facebook	65	US	"descriptive, exploratory"	"privacy attitudes,sharing intentions,privacy violations"	"Acquisti & Gross 2006,Gross & Acquisti 2005,Krishnamurthy & Wills 2008,Liu et al 2011,Joinson 2008,Lampe et al 2006,Das et al 2010,Reeder & Maxion 2005,Madejski et al 2011,Egelman et al 2011,Madden & Smith 2010,Hart et al 2008"
2016	Malik et al	"Impact of privacy, trust and user activity on intentions to share Facebook photos"	8	Facebook	378	"Finland,UK,USA,International"	"correlational, confirmatory"	"privacy awareness,privacy seeking behavior,privacy concerns,trust,activity,sharing intentions"	"Loewenstein 2015,Gross 2006,Sparks 2014,Hargittai 2010,Heo 2014,Adams 2010,Hart 2006,Duggan 2013,Passerini 2007,Morris 2014,Nehmad 2009,Sarstedt 2013,Guenther 2010,Lenhart 2015,Caine 2012,Hargittai 2014,Mislove 2011,Smith 2010,Nieminen 2016,Saunders 2006,Meeker 2014,Lunt 2004,Murata 2014,Dimoka 2006,Raynes-Goldie 2010,Xu 2011,Acquisti 2013,Taddicken 2014,Tufekci 2008,Ahlemann 2010,Nemati 2007,Ackerman 2011,Valacich 2014,Bello-Ogunu 2015,Kang 2015,Quan-Haase 2013"
2010	McKnight et al	Social Networking Information Disclosure and Continuance Intention: A Disconnect	56	Facebook	391	US	"correlational, confirmatory"	"privacy concern,information sensitivity,information disclosure,perceived usefulness,enjoyment,trusting beliefs,usage continuation intention"	"Abelson et al 1968,Ajzen 2002,Awad & Krishnan 2006,Bentler 1980,Chellappa & Sin 2005,Churchill 1979,Culnan 1993,Culnan & Armstrong 1999,Davis & Bagozzi 1989,Dinev & Hart 2005,Dinev & Hart 2006,Dinev et al 2006,Dinev et al 2008,Fiske 1993,Fornell & Larcker 1981,Gefen et al 2003,Hart et al 2008,Hoofnagle et al 2010,Jarvis et al 2003,Principles 1998,Koufaris 2002,Krasnova et al 2009,Krasnova & Veltri 2010,Laufer & Wolfe 1977,Lewicki et al 1998,Li et al 2005,Limayem et al 2007,Liu et al 2004,McKinney et al 2002,McKnight et al 2002,Norberg et al 2007,Pavlou et al 2003,Sharma et al 2009,Sledgianowski & Kulviwat 2009,Smith et al 1996,Son & Kim 2008,Stafford et al 2004,Thatcher et al 2007,Venkatesh 2000,Venkatesh & Morris 2000,Venkatesh et al 2003,Wang et al 2006,Wang & Benbasat 2005,Widaman 1985,Wortham 2010,Wortham 2010,Wu & Liu 2007,Yang & Wang 2009,Yoo & Alavi 2001,Zand 1972,Zeng et al 2009"
2010	Mesch	Is online trust and trust in social institutions associated with online disclosure of identifiable information online?	53	Generic	1698	US	"correlational, confirmatory, secondary analysis"	"trust in individuals,trust in institutions,online trust,disclosure of pii,intensity of internet use,perceptions of online risks,age"	"Altman 1977,Bargh et al 2002,Bos et al 2002,Buhrmester & Prager 1995,Camarena et al 1990,Cho 2007,Cho et al 2009,Dindia & Allen 1992,Corritore et al 2003,Devosk et al 2002,Dinev & Hart 2006,Dinev & Mullen 2008,Dutton & Shepherd 2006,Erikson 1964,Friedman et al 2000,Gandy 2000,Giddens 1990,Haythornthwaite 2002,Hine 2005,Hinson & Swanson 1993,Hoofnagle et al 2010,Holmes & Rempel 1989,Joinson & Paine 2007,Joinson et al 2010,Katz & Rice 2002,Krasnova et al 2010,Marx 1999,Mesch & Becker 2010,Murstein & Adler 1995,Nosko et al 2009,Paine et al 2007,Qian & Scott 2007,Rotter 1980,Scott 2004,Schouten et al 2007,Smith 2010,Subrahmanyam et al 2009,Sprecher & Hendrick 2004,Suler 2004,Papini et al 1990,Tidwell & Walther 2002,Tufecki 2008,Uslander 2000,Uslander 2002,Walther 1996,Wang & Emurian 2005,Weisband & Kiesler 1996"
2016	Millham & Atkin	"Managing the virtual boundaries: Online social networks, disclosure, and privacy behaviors"	4	Generic	697	US	"correlational, confirmatory"	"valuation of personal information,perceived risk,trust in online network,level of disclosure on osns,perceived boundary connections for disclosure on osns,ownership of disclosure boundaries,confidentiality of disclosure boundaries"	"Acquisti & Gross 2006,Altman 1975,Altman 1977,Austin 2010,Bennett 1967,Boyd 2010,Boyd & Hargittai 2010,Burnett 2000,Child & Agyeman-Budu 2010,Child & Petronio 2011,Child et al 2009,Chun & Cambell 1974,Clemens et al 2015,Culnan & Armstrong 1999,Derlega & Chaikin 1977,Dindia & Allen 1992,Field 2009,Garfinkel 2001,Habermas et al 2010,Atkin & Krishnan 2012,John et al 2011,John 2013,Jourard 1966,Krishnan & Atkin 2014,Lampinen et al 2009,Ledbetter et al 2011,Lee 2007,Levinson 2013,Lewis et al 2008,Margulis 1977,Margulis et al 2003,Metzger 2004,Metzger 2007,Metzger & Docter 2003,Palen & Dourish 2003,Palfrey & Gasser 2008,Petronio 1991,Petronio 2002,Petronio 2007,Petronio & Durham 2008,Petronio & Martin 1986,Petronio et al 1984,Rainie et al 2013,Regan 1995,Rosen 2001,Rotter 1967,Smith et al 1996,Stutzman et al 2011,Stutzman et al 2013,Stutzman et al 2012,Vitak & Ellison 2013,Wu et al 2011,Yao et al 2007,Zhang & Daugherty 2009,Zickuhr 2010,Zittrain 2008"
2004	Milne & Culnan	Strategies for reducing online privacy risks: Why consumers read (or don’t read) online privacy notices	433	None	2468	US	"correlational, confirmatory, secondary analysis"	"reason for reading privacy notices,trust in privacy notices,privacy concern,perceived comprehension of privacy notices,alternatives for reading notices"	"Cole 2002,Staelin 1986,Gross 2003,Staelin 1994,Glazer 1991,Hochhauser 2001,Miyazaki & Ferdnandez 2000,Moorman 1990,Moorman 1996,Phelps et al 2000,Peralta 1999,Wolfe 1977,Schwartz 2001,Boza 1999,Turow 2003,Westin 1967"
2015	Miltgen & Smith	"Exploring information privacy regulation, risks, trust, and behavior"	23	None	925	UK	"correlational, confirmatory"	"regulatory knowledge,perceived privacy regulatory perception,trust,privacy risk concerns,protection behavior,perceived rewards,regulatory preferences"	"Acquisti & Grossklags 2005,Anderson & Gerbing 1988,Armstrong & Overton 1977,Backhouse & Halperin 2007,Bansal et al 2010,Crossler 2011,Hiller & Smith 2002,Bennett 1992,Buchanan et al 2007,Carifio & Perla 2007,Chang 1994,Chin 1998,Chin 1998,Chin et al 2003,Chin et al 2012,Chwelos et al 2001,Compeau et al 1999,Culnan 1995,Culnan & Armstrong 1999,Dawes 2008,Dinev et al 2006,Dinev & Hart 2006,Dolnicar & Jordaan 2006,Dommeyer & Gross 2003,Flaherty 1989,Fornell & Larcker 1981,Greenwald 2014,Guinot et al 2001,Hair et al 2011,Hirschman & Holbrook 1982,Hofstede 1980,Holbrook & Hirschman 1982,Hsieh et al 2008,Jacoby & Matell 1971,Joreskog & Wold 1982,Kanter 2014,Lee 2000,Li 2011,Liang et al 2007,Lohmoller 1989,Lohr 2014,Lwin et al 2007,Mason 1986,Mayer et al 1995,McKnight et al 2002,Milberg et al 2000,Milne et al 2004,Miltgen & Peyrat-Guillard 2014,Miltgen et al 2013,Mishra & Agarwal 2010,Noonan & Wold 1983,Norberg et al 2007,Nowak & Phelps 1995,Nowak & Phelps 1992,Okazaki et al 2009,Park et al 2009,Park et al 2012,Pavlou 2011,Podsakoff et al 2003,Posey et al 2010,Rasmussen 1989,Ringle et al n.d.,Robinson et al 2014,Schoorman et al 2007,Singer 2013,Smith 2001,Smith 1994,Smith et al 2011,Smith et al 1996,Smith 1993,Sobel 1982,Straub 1989,Straub et al 2004,Tenenhaus et al 2005,Turow et al 2008,Van 2004,Vance et al 2008,Wirtz et al 2007,Wold 1982,Xu et al 2011,Xu et al 2012,Youn 2009,Youn 2008"
2014	Moll et al	Competent or clueless? Users’ knowledge and misconceptions about their online privacy management	19	Facebook	45	Germany	"correlational, exploratory"	"content correctness,audience correctness,content accuracy,audience accuracy"	"Hargittai 2010,Burke et al 2010,Busemann 2013,Milojkovic & Ross 1990,Lampe 2007,Gummadi et al 2010,Hattie 2013,Junco 2013,Juslin et al 1996,Kleitman & Stankov 2007,Koriat 1977,Koriat et al 1980,Kruger & Dunning 1999,Liu et al 2011,Madejski et al 2012,Moll et al 2014,Nelson & Narens 1980,Nelson & Narens 1990,Nelson & Narens 1994,Olsson 2000,Pieschl 2009,Pieschl & Moll 2014,Schraw 2009,Schraw 1995,Spiekermann et al 2001,Thiede et al 2003,Trepte & Reinecke 2013,Valkenburg & Peter 2011,Winne & Muis 2011,Zhao et al 2008"
2014	Orito et al	I Will Continue to Use This Nonetheless: Social Media Survive Users' Privacy Concerns	9	"Facebook,Twitter"	368	Japan	"correlational, exploratory"	"social media usage,privacy attitudes,personal data disclosure,privacy settings,attitudes toward secondary/tertiary use of personal data,recognition of data storage"	"Acquisti & Gross 2006,Beye et al 2014,Debatin et al 2009,Govani & Pashley 2014,Gross & Acquisti 2014,Hoy & Milne 2010,Krasnova 2009,Krombholz et al 2012,Liu et al 2011,Madden & Smith 2010,Marwick 2011,Murata & Orito 2013,Murata et al 2014,Orito 2011,Orito et al 2013,Tow et al 2010,Stutzman & Capra 2011"
2017	Ozdemir et al	Antecedents and outcomes of information privacy concerns in a peer context: An exploratory study	2	Facebook	226	US	"correlational, confirmatory"	"media privacy awareness,personal privacy experience,gender,age,collection,errors,secondary use,improper access,risk,trust,behavior"	"Joinson et al 2006,Gomez et al 2009,Bailey & Caidi 2005,Li 2011,Crossler 2011,Smith et al 2011,Pavlou 2011,Bellman et al 2004,Campbell 1997,Cho et al 2009,Culnan 1993,Dinev et al 2006,Dinev & Hart 2004,Hwang et al 2012,Lu & Tan 2004,Nowak & Phelps 1992,Smith et al 1996,Xu 2007,Xu et al 2008,Xu et al 2013,Yao 2008,Yao et al 2007,Anderson & Agarwal 2011,Cha 2011,Culnan & Armstrong 1999,Dinev et al 2006,Dinev et al 2008,Eastlick et al 2006,Frye & Dornisch 2010,Hong & Thong 2013,Lowry et al 2011,Malhotra et al 2004,Metzger 2004,Milne 1999,Mothersbaugh et al 2012,Sheehan & Grubbs-Hoy 1999,Son & Kim 2008,Taddei & Contena 2013,Tan et al 2012,Slyke et al 2006,Walgrave & Heirman 2013,Xu et al 2003,Zhou 2013,Bansal et al 2010,Chechen et al 2011,Dinev & Hart 2005,Mohamed & Ahmad 2012,Okazaki et al 2009,Stewart & Segars 2002,Compeau et al 2012,Xu et al 2011,Bansal et al 2008,Schoenbachler & Gordon 2002,Xu et al 2005,Sheehan 2002,Pavlou & Fygenson 2006,Westin 1990,Stone & Stone 1990,Phelps et al 2000,Culnan 1995,Hoofnagle et al 2010,Metzger 2007,Sheehan 1999,Regan et al 2013,Mayer et al 1995,Yates et al 1992,Dinev & Hart 2006,Fuller et al 2007,Larose & Rifon 2007,Carmagnola et al 2014,Ringle et al 2005,Chin et al 1999,Fornell & Larcker 1981,Podsakoff et al 2003,Liang et al 2007,Garside 2013,Munson 2013,Kang & Nakashima 2013"
2007	Paine et al	Internet users’ perceptions of ‘privacy concerns’ and ‘privacy actions’	204	ICQ	497	"Russia, Germany, International"	"correlational, exploratory"	"privacy concern,privacy action"	"Altman 1975,Austin 2003,Birnbaum & Reips 2005,Buchanan et al 2007,Proctor et al 2007,Burgoon et al 1989,Cranor 1999,DeCew 1997,Harper & Singleton 2001,Harris 2004,Harris & Westin 1998,Harris 2002,Jensen et al 2005,Joinson et al 2002,Klein 2004,Malhotra et al 2004,Paine et al 2006,Parent 1983,Reips 2000,Reips 2002,Reips 2006,Schoeman 1984,Smith et al 1996,Solove 2004,Stieger & Goritz 2006,Stieger & Reips 2005,Stieger & Reips 2007,Vise 2005,Viseu et al 2004,Warren & Brandeis 1890,Westin 1967"
2011	Park	Digital Literacy and Privacy Behavior Online	124	None	419	US	"correlational, confirmatory"	"technical familiarity,information control,awareness of institutional surveillance,policy knowledge,internet access experiences,information control skills,income,education,age,gender"	"Acquisti & Grosslags 2005,Acquisti & Gross 2006,Agre 1998,Ball & Webster 2003,Barnes 2006,Bellotti & Samarajiva 1998,Hargittai 2010,Bunz 2004,Castells 1996,Culnan 1995,Culnan & Armstrong 1999,Debatin et al 2009,Dommeyer & Gross 2003,Dutton & Anderson 1989,Fogel & Nehmad 2009,Fox 2000,Freese et al 2006,Goffman 1959,Graeff & Harmon 2002,Hargittai 2002,Hargittai 2004,Hargittai 2005,Hargittai 2007,Hargittai 2009,Hargittai & Hinnant 2008,Hoffman et al 1999,Kwak 1999,Kwak et al 2004,LaRose & Rifon 2007,Lewis et al 2008,Loges & Jung 2001,Marx 2003,Milne & Rome 2000,Neuman 1986,Neuman 1991,Nowak & Phelps 1997,Resnick 2002,Solove 2007,Turow 2003,Turow et al 2005,Turow & Hennessy 2007,Dijk 2005"
2012	Park et al	"Affect, cognition and reward: Predictors of privacy protection online"	42	None	419	US	"correlational, confirmatory"	"privacy knowledge,privacy concern,reward,information protection behavior"	"Ackerman et al 1999,Acquisti 2004,Acquisti & Grosslags 2005,Ajzen 1991,Barren & Kenny 1986,Boyd & Hargittai 2010,Campbell & Kwak 2010,Chen & Rea 2004,Culnan 1995,Dietrichson 2001,Dommeyer & Gross 2003,Downs 1957,Earp & Baumer 2003,Eveland et al 2005,Goffman 1965,Goldman 2003,Hargittai 2004,Hargittai 2008,Just et al 1998,Khalifa & Limayem 2003,Kumaraguru & Cranor 2005,LaRose & Rifon 2007,MacLeod & Mathews 1988,Marcus et al 2000,Marcus et al 2008,Marx 2003,Metzger 2007,Pastore 1999,Phelps et al 2000,Ribak & Turow 2003,Tai et al 2007,Turkle 1995,Turow 2003,Turow et al 2005,Turow & Hennessy 2007,Uslaner 2004,Westin 1998"
2012	Pitkanen et al	Disclosing Personal Data Socially - an Empirical Study on Facebook User's Privacy Awareness	13	Facebook	210	Finland	"descriptive, exploratory"	"personal information,privacy control,privacy concern,privacy policy awareness"	"Acquisti & Gross 2006,Boyd 2004,Boyd & Ellison 2008,Boyd & Hargittai 2010,Brooks 2007,Cranor et al 2006,Debatin et al 2009,Dinev & Hart 2006,Donath 2007,Dwyer 2007,Dwyer et al 2007,Gallaugher & Ransbotham 2010,Goettke & Christiana 2007,Govani & Pashley 2007,Acquisti & Gross 2005,Jones & Soltren 2005,Kosta & Dumortier 2008,Lampe et al 2007,Lampinen et al 2011,Lampinen et al 2009,Pitkanen 2006,Lehmuskallio 2009,Ross et al 2009,Tow et al 2008,Tuunainen et al 2009,Wellman 1997"
2010	Posey et al	Proposing the online community self-disclosure model: the case of working professionals in France and the U.K. who use online communities	269	Generic	529	"France,UK"	"correlational, confirmatory"	"social influence,perceived reciprocity,perceived online community trust,privacy risk beliefs,perceived anonymity,perceived collectivism,perceived individualism,self-disclosure"	"AJZEN 1991,ALTMAN & TAYLOR 1973,ALTMAN et al 1981,AWAD & KRISHNAN 2006,Ba & Pavlou 2002,BANDURA 1977,BARAK & GLUCK-OFRI 2007,BERNOFF & LI 2008,Chang & Kwon et al 2008,CHIN et al 2003,CHIU et al 2006,CIALDINI 2001,CONNOLLY & JESSUP 1990,COOK 2008,DAVIS 1989,MIS et al 1989,DELGADO-BALLESTER & NDEZ-ESPALLARDO 2008,DERLEGA et al 1993,DEUTSCH & GERARD 1955,DIETZ-UHLER et al 2005,ELLISON et al 2007,EMMERT & DONAGHY 1981,FISHBEIN & AJZEN 1975,FORMAN et al 2008,GEFEN et al 2003,Gefen & Ridings 2002,GEFEN & STRAUB 2005,GREENBERG & STONE 1992,GUDYKUNST & NISHIDA 1986,HARGITTAI 2007,HENSLEY 1996,HOFSTEDE 1991,HORENSTEIN & DOWNEY 2003,HUSTED & ALLEN 2008,IM et al 2008,ISHII & OGASAHARA 2007,JARVENPAA & STAPLES 2001,JARVENPAA & TRACTINSKY 1999,JOURARD 1971,KANKANHALLI et al 2005,Karhanna et al 2002,KO & KUO 2009,KOZINETS 2002,LEA et al 2001,LEE 2001,LOWRY et al 2009,LOWRY et al 2008,LOWRY et al 2010,MALHOTRA et al 2004,MARSHALL et al 2008,MAYER et al 1995,MILLER et al 2009,MOON 2000,MOORES & CHANG 2006,Nunamaker et al 1991,OYSERMAN 2006,PAVLOU et al 2007,Pavlou & Dimoka et al 2006,PAVLOU & GEFEN 2004,PAVLOU & GEFEN 2005,PEARCE & SHARP 1973,PENNEBAKER 1989,BERKOWITZ & PETRONIO 2002,PINSONNEAULT & HEPPEL 1998,PODSAKOFF et al 2003,PORTER & DONTHU 2008,RAYKOV & GRAYSON 2003,ROBERTSHAW & MARR 2006,SHIN et al 2007,SON et al 2005,STAPLES & WEBSTER 2008,STRAUB 1989,Straub et al 2004,TAYLOR & ALTMAN 1975,THIBAUT & KELLEY 1959,TRIANDIS 2001,TRIANDIS & GELFAND 1998,TRIANDIS & SUH 2002,VANLEAR 1987,VANLEAR 1991,VENKATESH et al 2003,Walther & Burgoon et al 1996,WASKO & FARAJ 2005,WHEELESS 1978,WHEELESS & GROTZ 1976,WOLFE & MURTHY 2006,ZHANG & LOWRY 2008,ZHANG et al 2008"
